event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,source
RAND_2024-12-21_WOOD,WOOD,2024-12-21,-0.0005102009801722027,0.0046920418275684704,0.00872056934766561,0.503191,-0.000699,37,,random
RAND_2025-06-14_IAK,IAK,2025-06-14,0.0023942521184640627,0.013420379367088607,0.006715826807797733,0.872053,-0.001481,36,,random
RAND_2025-02-05_IAK,IAK,2025-02-05,0.0023261204968962656,-0.009422337912049236,-0.011705493139054095,0.564472,-0.000174,32,,random
RAND_2025-02-13_XHB,XHB,2025-02-13,0.0085585843040215,-0.0161408682182684,-0.02390316749590572,1.204032,-0.001687,33,,random
RAND_2025-02-14_IAK,IAK,2025-02-14,0.0037317675764329972,0.0058617724605949505,0.025334660343897968,0.549494,7e-05,34,,random
RAND_2025-02-07_MOO,MOO,2025-02-07,0.0038197572787804796,-0.0021418989128046805,-0.0027149758112569884,0.633398,0.000465,34,,random
RAND_2024-12-13_XLU,XLU,2024-12-13,-0.008056559360158951,-0.038837943953762735,-0.0182946863087785,-0.069785,0.000182,37,,random
RAND_2024-12-15_XHB,XHB,2024-12-15,-0.005893351078303291,-0.037808092499114654,-0.03563174843914629,1.032391,-0.002137,36,,random
RAND_2025-04-12_MOO,MOO,2025-04-12,-0.006352357734319462,0.00845882976084655,0.01586149156222772,0.700351,0.000442,37,,random
RAND_2024-11-20_XHB,XHB,2024-11-20,0.010611886134182779,0.06868196158599138,0.051397618039209676,0.828024,-0.002121,36,,random
RAND_2024-12-19_MOO,MOO,2024-12-19,0.007939712547888687,0.006997685733736945,0.010918563369112604,0.330161,-0.00061,36,,random
RAND_2024-11-15_MOO,MOO,2024-11-15,0.0026568874827076544,0.003923193306183964,0.02119978509989024,0.635102,-0.00094,38,,random
RAND_2025-04-15_IAK,IAK,2025-04-15,0.006158671366357693,-0.02051915721405717,-0.02199942221669178,0.86786,0.002896,35,,random
RAND_2025-02-11_XLU,XLU,2025-02-11,-0.001798237509905534,-0.013031417324832824,-0.0018484774462044391,0.703056,0.000666,32,,random
RAND_2025-02-04_IAK,IAK,2025-02-04,0.002509052955255735,0.007842037578242854,-0.0001100215168281923,0.607951,-0.000493,32,,random
